ID,County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
52,Cottle,1505,1505,1505,1505,1505,1505,1505,1505,1123,1113,1090,1078,1072,1056,1029,1038,954,286,741,367,354,612,571,437,665,515,0.2547,0.6658,0.3367,0.3284,0.5709,0.5407,0.4247,0.6407,0.5398,-3.683737646,-6.738544474,-3.171641791,-4.007123776,-8.370436331,-4.545454545,-3.119266055,-12.47706422,-9.659090909,-17.40890688,-10.25641026,8.660130719,23.77622378,52.7972028,23.44632768,55.58583106,40.32697548,-9.807355517
53,Crane,4375,4375,4375,4375,4375,4375,4375,4375,2364,2366,2523,2591,2678,2645,2642,2661,2668,567,1284,851,1128,1386,1055,689,1510,1184,0.2398,0.5427,0.3373,0.4354,0.5176,0.3989,0.2608,0.5675,0.4438,13.18681319,12.46830093,-0.634802091,9.602368866,11.75972927,1.968351988,4.835513278,5.747126437,0.869565217,7.943925234,17.60124611,8.946608947,98.94179894,21.51675485,-38.91843972,23.97179788,39.13043478,12.22748815
54,Crockett,3719,3719,3719,3719,3719,3719,3719,3719,2513,2532,2535,2534,2551,2476,2459,2468,2260,861,1462,835,967,1395,1276,891,1574,1273,0.3426,0.5774,0.3294,0.3816,0.5468,0.5153,0.3623,0.6378,0.5633,0.750394945,-2.52764613,-3.253626029,0.835654596,-2.148826104,-2.959747435,-2.327416174,-10.84812623,-8.723747981,-4.582763338,7.660738714,12.83154122,12.31126597,3.484320557,-7.859358842,52.81437126,52.45508982,-0.235109718
55,Crosby,6059,6059,6059,6059,6059,6059,6059,6059,3614,3668,3594,3507,3605,3513,3521,3628,3525,777,1840,1108,935,1765,1444,1039,1966,1261,0.215,0.5016,0.3083,0.2666,0.4896,0.411,0.2951,0.5419,0.3577,-1.717557252,-1.090512541,0.638002774,-2.960708356,-2.573325955,0.399201597,-2.25375626,-1.919866444,0.341588386,-4.076086957,6.847826087,11.38810198,20.33462033,33.71943372,11.12299465,30.32490975,13.80866426,-12.67313019
56,Culberson,2398,2398,2398,2398,2398,2398,2398,2398,1593,1597,1759,1741,1765,1710,1678,1713,1580,586,880,331,693,767,866,615,864,736,0.3679,0.551,0.1882,0.398,0.4346,0.5064,0.3665,0.5044,0.4658,10.51972448,7.263619286,-2.946175637,9.290646579,5.335844319,-3.618609994,-2.785673678,-10.1762365,-7.602339181,-12.84090909,-1.818181818,12.64667536,18.25938567,4.948805461,-11.25541126,161.6314199,122.3564955,-15.01154734
57,Dallam,6703,6703,6703,6703,6703,6703,6703,6703,2978,3034,3092,3062,3151,3015,2998,3040,2894,477,1543,861,886,1558,1127,888,1610,1051,0.1602,0.5086,0.2785,0.2894,0.4944,0.3738,0.2962,0.5296,0.3632,3.85629532,0.197758734,-3.522691209,2.820685024,0.671591672,-2.090137165,-2.490297542,-6.403622251,-4.013266998,0.97213221,4.342190538,3.337612323,85.7442348,86.16352201,0.225733634,30.89430894,22.06736353,-6.743566992
58,Dallas,2368139,2368139,2368139,2368139,2368139,2368139,2368139,2368139,1117185,1135832,1206239,1225037,1288341,1329326,1345678,1397892,1422471,134998,714387,410529,334234,770590,731583,329345,926518,629341,0.1208,0.629,0.3403,0.2728,0.5981,0.5503,0.2447,0.6628,0.4424,13.42707372,23.07207404,8.503261171,9.653906918,20.45256605,9.84794745,10.20419668,17.92613238,7.006934341,7.867304416,29.69412937,20.23488496,147.5844087,143.9628735,-1.462747656,78.2049502,53.30001047,-13.97544776
59,Dawson,13833,13833,13833,13833,13833,13833,13833,13833,7466,7520,7406,7139,7342,7155,7043,7089,6926,1200,3643,2054,2404,3563,3020,2133,3785,2517,0.1607,0.4844,0.2773,0.3367,0.4853,0.4221,0.3029,0.5339,0.3634,-2.367021277,-5.731382979,-3.44592754,-4.379855344,-5.665684436,-1.344726152,-3.389143937,-6.481231434,-3.20055905,-2.195992314,3.897886357,6.230704463,100.3333333,77.75,-11.27287854,47.030185,22.54138267,-16.65562914
60,De Witt,20097,20097,20097,20097,20097,20097,20097,20097,11589,11680,11938,11673,11861,11669,11708,12058,12185,1893,6713,4049,4028,6912,6137,3317,8118,6081,0.1633,0.5747,0.3392,0.3451,0.5828,0.5259,0.2833,0.6732,0.4991,1.549657534,3.23630137,1.660905489,0.724825265,1.026835793,0.299837231,-2.253308762,2.069023287,4.421972748,2.964397438,20.9295397,17.44791667,112.7839408,75.22451136,-17.65143992,51.56828847,50.18523092,-0.912497963
61,Deaf Smith,19372,19372,19372,19372,19372,19372,19372,19372,8202,8302,8455,8435,8666,8813,8824,8891,8745,1405,4311,2734,2231,4223,3816,1853,4608,2966,0.1713,0.5193,0.3234,0.2645,0.4873,0.433,0.21,0.5183,0.3392,4.384485666,7.094675982,2.596353566,2.840770544,7.583516216,4.611736811,4.234180958,3.429923122,-0.771587428,-2.041289724,6.889352818,9.116741653,58.79003559,31.886121,-16.94307485,39.57571324,8.485735187,-22.27463312
62,Delta,5231,5231,5231,5231,5231,5231,5231,5231,3187,3255,3571,3703,3844,3871,3853,3938,3975,1002,2047,1405,1417,2331,1956,1582,2600,2038,0.3144,0.6289,0.3934,0.3827,0.6064,0.5053,0.4106,0.6602,0.5127,18.0952381,20.98310292,2.445369407,16.19077502,20.89739567,4.050769646,8.401008121,11.3133576,2.686644278,13.8739619,27.01514411,11.54011154,41.41716567,57.88423154,11.64431898,39.21708185,45.05338078,4.192229039
63,Denton,662614,662614,662614,662614,662614,662614,662614,662614,361922,370479,408701,436677,464507,511427,527309,563885,606672,40714,245287,144036,128566,302835,296275,134210,417965,318565,0.1125,0.6621,0.3524,0.2944,0.6519,0.5793,0.2545,0.7412,0.5251,25.38011601,52.20430848,21.39429546,20.65500301,45.69686286,20.7549287,25.13475622,48.43907894,18.62338125,23.46149612,70.39834969,38.01740222,215.7783563,229.6409098,4.389963132,105.695104,121.1704018,7.523415746
64,Dickens,2444,2444,2444,2444,2444,2444,2444,2444,1302,1335,1318,1310,1330,1284,1298,1327,1371,366,1047,518,610,930,762,547,1001,793,0.2811,0.7843,0.393,0.4656,0.6992,0.5935,0.4214,0.7543,0.5784,-0.374531835,-0.599250936,-0.22556391,0.614439324,-0.307219662,-0.916030534,-2.579666161,4.02124431,6.775700935,-11.1747851,-4.393505253,7.634408602,66.66666667,49.45355191,-10.32786885,47.1042471,53.08880309,4.06824147
65,Dimmit,9996,9996,9996,9996,9996,9996,9996,9996,6835,6876,7296,7384,7439,7358,7300,7329,6982,2067,2918,1972,2723,3225,2944,2844,3722,3005,0.3024,0.4244,0.2703,0.3688,0.4335,0.4001,0.3896,0.5078,0.4304,8.187899942,6.588132635,-1.478693373,8.032187271,6.803218727,-1.1375948,0.849780702,-4.30372807,-5.110084262,10.52090473,27.55311857,15.41085271,31.73681664,37.59071118,4.443628351,49.29006085,52.38336714,2.07201087
66,Donley,3677,3677,3677,3677,3677,3677,3677,3677,2384,2390,2408,2307,2312,2220,2230,2312,2213,564,1535,944,883,1465,1286,851,1648,1197,0.2366,0.6423,0.392,0.3827,0.6337,0.5793,0.3816,0.7128,0.5409,-3.263598326,-3.263598326,0,-3.229865772,-6.459731544,-3.337667967,-7.80730897,-8.098006645,-0.315315315,-4.560260586,7.361563518,12.49146758,56.56028369,50.88652482,-3.62400906,36.22881356,26.80084746,-6.920684292
67,Duval,11782,11782,11782,11782,11782,11782,11782,11782,8706,8742,8380,8287,8352,8333,8170,8329,8124,3059,4470,3398,3265,4277,4112,2480,5205,3936,0.3514,0.5113,0.4055,0.394,0.5121,0.4935,0.3035,0.6249,0.4845,-4.461221688,-4.724319378,-0.275383142,-4.8127728,-6.156673558,-1.411849885,-0.560859189,-3.054892601,-2.508100324,-4.317673378,16.44295302,21.69745148,6.734226872,-18.92775417,-24.04287902,21.01236021,15.83284285,-4.280155642
68,Eastland,18583,18583,18583,18583,18583,18583,18583,18583,10066,10210,10867,11230,11680,11694,11702,12196,12278,1740,6670,3984,4223,7080,6211,4196,8293,6168,0.1729,0.6533,0.3666,0.376,0.6062,0.5311,0.3586,0.68,0.5024,14.39764936,19.45151812,4.417808219,11.56367971,16.25273197,4.203027605,7.610196006,12.98426429,4.994014024,6.146926537,24.33283358,17.13276836,142.7011494,141.1494253,-0.639355908,55.89859438,54.81927711,-0.692320077
69,Ector,137130,137130,137130,137130,137130,137130,137130,137130,63961,64554,68547,69872,73118,76066,77609,80796,83371,12117,33254,15037,18692,37284,30983,14568,44923,25623,0.1894,0.5151,0.2194,0.2675,0.5099,0.4073,0.1877,0.556,0.3073,13.26641262,25.16033089,10.50083427,9.241569081,21.33800285,11.07310511,10.96911608,21.62603761,9.603502222,12.11884285,35.09051543,20.48868147,54.26260626,20.22777915,-22.06291462,106.0450888,70.39968079,-17.29980957
70,Edwards,2002,2002,2002,2002,2002,2002,2002,2002,1562,1548,1504,1463,1513,1445,1447,1496,1458,840,885,904,684,1103,769,761,1072,818,0.5378,0.5717,0.6011,0.4675,0.729,0.5322,0.5259,0.7166,0.561,-2.260981912,-3.359173127,-1.123595506,-6.338028169,-7.362355954,-1.093643199,-3.92287234,-3.058510638,0.899653979,24.63276836,21.1299435,-2.810516772,-18.57142857,-9.404761905,11.25730994,-14.93362832,-9.513274336,6.371911573
71,El Paso,800647,800647,800647,800647,800647,800647,800647,800647,348313,354998,404679,405849,428221,456965,471698,488455,506962,61774,172709,80617,83597,215922,203617,88311,269007,166898,0.1774,0.4865,0.1992,0.206,0.5042,0.4456,0.1872,0.5507,0.3292,20.62631339,37.59373292,14.06610138,16.5184762,35.42359889,16.22499994,12.92036404,25.27509458,10.94110052,25.02069956,55.75737223,24.5852669,35.32716029,42.95820248,5.638958336,152.5732786,107.0258134,-18.03336657
72,Ellis,149610,149610,149610,149610,149610,149610,149610,149610,84872,86263,93162,97376,102208,108050,113110,120084,131185,15385,54330,32323,31246,64355,60850,32363,85932,68079,0.1813,0.6298,0.347,0.3209,0.6296,0.5632,0.2861,0.7156,0.519,18.4841705,39.20684419,17.48982467,14.73277406,33.2712791,16.15798554,15.98076469,40.81385114,21.41138362,18.45205227,58.1667587,33.5280864,103.0939227,110.3542411,3.574857582,88.25604059,110.6209201,11.88003287
73,Erath,37890,37890,37890,37890,37890,37890,37890,37890,19971,19923,20454,20702,21549,22261,23016,23853,24864,4642,12688,7468,7952,14101,12644,8687,16930,13159,0.2324,0.6369,0.3651,0.3841,0.6544,0.568,0.3774,0.7098,0.5292,8.161421473,19.72594489,10.69191146,3.660307446,15.24710831,11.17766399,8.834457808,21.56057495,11.69309555,11.13650694,33.4331652,20.06240692,71.30547178,87.13916415,9.242957746,69.30905196,76.20514194,4.07307814
74,Falls,17866,17866,17866,17866,17866,17866,17866,17866,9370,9499,9857,9912,10140,10329,10111,10338,10297,2521,5434,3068,3197,5250,4687,2467,6135,4732,0.2691,0.5721,0.3113,0.3225,0.5178,0.4538,0.244,0.5934,0.4596,6.748078745,8.832508685,1.952662722,5.784418356,7.908217716,2.007667474,4.788475195,4.463832809,-0.309807339,-3.386087597,12.90025764,16.85714286,26.81475605,-2.14200714,-22.83390679,52.77053455,54.23728814,0.960102411
75,Fannin,33915,33915,33915,33915,33915,33915,33915,33915,18733,18943,19885,19746,20564,20652,20908,22152,23417,3204,11136,6584,6581,12283,10847,6280,15117,11667,0.171,0.5879,0.3311,0.3333,0.5973,0.5252,0.3004,0.6824,0.4982,8.557250699,16.94029457,7.722233029,5.40756953,11.61052688,5.884736149,3.857178778,17.76213226,13.3885338,10.29992816,35.74892241,23.07253928,105.3995006,96.00499376,-4.573772983,64.74787363,77.20230863,7.559693925
76,Fayette,24554,24554,24554,24554,24554,24554,24554,24554,15410,15516,15866,15848,16273,16524,16801,17352,17834,4239,10582,7629,7273,11163,10535,6319,12962,10580,0.2751,0.682,0.4808,0.4589,0.686,0.6376,0.3761,0.747,0.5932,4.878834751,11.83294664,6.630615129,2.842310188,9.0266061,6.013377082,4.147233077,12.40388252,7.927862503,5.49045549,22.49102249,16.1157395,71.57348431,49.06817646,-13.11700811,38.09149299,38.68134749,0.427147603
77,Fisher,3974,3974,3974,3974,3974,3974,3974,3974,2731,2746,2773,2721,2768,2692,2583,2645,2684,469,1641,1245,993,1730,1494,798,1826,1412,0.1717,0.5976,0.449,0.3649,0.625,0.555,0.3089,0.6904,0.5261,0.801165331,-3.678077203,-4.443641618,-0.366166239,-5.419260344,-5.071664829,-2.921024162,-3.209520375,-0.29717682,5.423522243,11.27361365,5.549132948,111.7270789,70.14925373,-19.63746224,20,13.41365462,-5.488621151
78,Floyd,6446,6446,6446,6446,6446,6446,6446,6446,4259,4270,4078,4049,4073,3935,3852,3844,3664,787,2127,1098,1441,2044,1882,1125,2040,1469,0.1848,0.4981,0.2692,0.3559,0.5018,0.4783,0.2921,0.5307,0.4009,-4.613583138,-9.976580796,-5.622391358,-4.930734914,-9.556233858,-4.865398864,-3.506620893,-10.15203531,-6.886912325,-3.902209685,-4.090267983,-0.195694716,83.10038119,42.94790343,-21.92921582,71.40255009,33.78870674,-21.94473964
79,Foard,1336,1336,1336,1336,1336,1336,1336,1336,1065,1070,1070,935,948,908,864,883,824,142,495,331,264,524,447,374,558,548,0.1333,0.4626,0.3093,0.2824,0.5527,0.4923,0.4329,0.6319,0.665,-11.40186916,-17.47663551,-6.856540084,-12.20657277,-18.87323944,-7.593582888,-15.14018692,-22.99065421,-9.251101322,5.858585859,12.72727273,6.488549618,85.91549296,163.3802817,41.66666667,35.04531722,65.55891239,22.5950783
80,Fort Bend,585375,585375,585375,585375,585375,585375,585375,585375,319227,327712,364178,384764,403951,430576,457490,485044,522354,46682,219602,132543,107794,262357,255553,126908,359881,251629,0.1462,0.6701,0.364,0.2802,0.6495,0.5935,0.2774,0.742,0.4817,23.26402451,48.00922761,20.07495959,20.52990505,43.3118126,18.90145648,18.232293,43.4337055,21.31516852,19.46931267,63.87874427,37.17225003,130.911272,171.85639,17.73197024,92.80761715,89.8470685,-1.535493616
81,Franklin,10605,10605,10605,10605,10605,10605,10605,10605,6471,6516,6651,6635,6801,6782,6790,7024,7225,2058,4258,2594,2784,4381,3988,2078,5030,3931,0.318,0.6535,0.39,0.4196,0.6442,0.588,0.306,0.7161,0.5441,4.373848987,7.796193984,3.278929569,2.534384176,4.929686293,2.336096458,1.969628627,8.630281161,6.531996461,2.888680132,18.13057774,14.81396941,35.27696793,0.971817298,-25.3591954,53.73939861,51.54202005,-1.429287864
82,Freestone,19816,19816,19816,19816,19816,19816,19816,19816,10975,11121,11431,11704,11997,11905,12029,12462,12741,3050,7660,4506,5527,7735,6662,4203,8756,6693,0.2779,0.6888,0.3942,0.4722,0.6447,0.5596,0.3494,0.7026,0.5253,7.876989479,12.05826814,3.875968992,6.642369021,9.603644647,2.776828435,4.146618843,11.46006474,7.022259555,0.979112272,14.30809399,13.19974144,81.21311475,37.80327869,-23.95512936,47.84731469,48.53528628,0.465325728
83,Frio,17217,17217,17217,17217,17217,17217,17217,17217,10003,10171,9973,10000,9127,8554,8662,8955,9106,2134,4011,1855,3233,4469,3681,3294,5277,3881,0.2133,0.3944,0.186,0.3233,0.4896,0.4303,0.3803,0.5893,0.4262,-10.26447744,-11.95555993,-1.884518462,-0.029991003,-13.40597821,-13.38,-14.22841673,-8.693472375,6.453121347,11.41859885,31.5632012,18.08010741,51.4995314,54.35801312,1.886792453,98.43665768,109.2183288,5.433306167
84,Gaines,17526,17526,17526,17526,17526,17526,17526,17526,7382,7471,8073,8381,8617,8863,9239,9672,9897,1818,4143,2577,2660,4715,3852,1807,5996,4122,0.2463,0.5545,0.3192,0.3174,0.5472,0.4346,0.1956,0.6199,0.4165,15.33931201,29.46058091,12.24324011,13.53291791,25.15578434,10.23744183,9.785705438,22.59383129,11.66647862,13.80642047,44.72604393,27.16861082,46.31463146,-0.605060506,-32.06766917,49.47613504,59.95343423,7.009345794
85,Galveston,291309,291309,291309,291309,291309,291309,291309,291309,178664,181309,192382,199310,208387,213061,217842,228382,235169,28595,110184,65503,53821,125342,114372,50981,155752,110760,0.16,0.6077,0.3405,0.27,0.6015,0.5368,0.234,0.682,0.471,14.9347247,25.96285899,9.595128295,11.55576949,21.92831236,9.29807837,10.74892661,22.24064621,10.37637109,13.75698831,41.35627677,24.26162021,88.21821997,78.28641371,-5.276750711,74.60574325,69.09149199,-3.158115623
86,Garza,6461,6461,6461,6461,6461,6461,6461,6461,2744,2770,2736,2665,2721,2697,2596,2678,2660,855,1560,841,1114,1484,1289,686,1653,1208,0.3116,0.5632,0.3074,0.418,0.5454,0.4779,0.2643,0.6173,0.4541,-1.768953069,-3.321299639,-1.58030136,-2.879008746,-5.393586006,-2.589118199,-1.425438596,-2.777777778,-1.371894698,-4.871794872,5.961538462,11.38814016,30.29239766,-19.76608187,-38.42010772,53.26991677,43.63852556,-6.28394104
87,Gillespie,24837,24837,24837,24837,24837,24837,24837,24837,17605,17686,18149,18420,18959,19158,19520,20340,21103,5045,12551,8876,8954,13375,12563,7486,15852,13459,0.2866,0.7097,0.4891,0.4861,0.7055,0.6558,0.3835,0.7794,0.6378,7.197783558,15.00621961,7.284139459,4.629366657,10.87759159,5.971769815,5.559534961,16.27637886,10.15241674,6.565213927,26.30069317,18.51962617,77.4826561,48.38453915,-16.3949073,41.53898152,51.63361875,7.132054446
88,Glasscock,1226,1226,1226,1226,1226,1226,1226,1226,740,745,757,753,769,778,790,798,814,179,579,400,411,606,555,374,661,578,0.2419,0.7772,0.5284,0.5458,0.788,0.7134,0.4734,0.8283,0.7101,3.22147651,7.11409396,3.771131339,1.756756757,6.756756757,4.913678619,2.774108322,7.529722589,4.627249357,4.663212435,14.16234888,9.075907591,129.6089385,108.9385475,-9.00243309,38.75,44.5,4.144144144
89,Goliad,7210,7210,7210,7210,7210,7210,7210,7210,5342,5358,5525,5438,5577,5541,5549,5744,5762,1647,3499,2788,2243,3778,3081,1844,4014,3434,0.3083,0.653,0.5046,0.4125,0.6774,0.556,0.3323,0.6988,0.596,4.087346025,7.204180664,2.994441456,1.797079745,3.874953201,2.041191615,0.28959276,4.28959276,3.988449738,7.973706773,14.718491,6.246691371,36.18700668,11.96114147,-17.78867588,10.50932568,23.17073171,11.45731905
90,Gonzales,19807,19807,19807,19807,19807,19807,19807,19807,12261,12283,12105,11976,12270,12130,12302,12583,12686,1656,6056,3713,3861,6349,5630,4080,7697,5605,0.1351,0.493,0.3067,0.3224,0.5174,0.4641,0.3317,0.6117,0.4418,-0.105837336,2.442400065,2.550937245,-2.324443357,0.334393606,2.722110888,0.206526229,4.799669558,4.583676834,4.838177015,27.09709379,21.23169003,133.1521739,146.3768116,5.672105672,51.62941018,50.95610019,-0.444049734
91,Gray,22535,22535,22535,22535,22535,22535,22535,22535,12691,12536,12995,12467,12723,12408,12153,12377,12599,3764,7511,3770,4737,7540,6009,4078,7782,5565,0.2966,0.5992,0.2901,0.38,0.5926,0.4843,0.3356,0.6287,0.4417,1.491703893,-1.26834716,-2.719484398,-1.765030336,-4.239224647,-2.518649234,-4.51712197,-3.047325895,1.539329465,0.386100386,3.608041539,3.209549072,25.8501594,8.34218916,-13.9117585,59.38992042,47.6127321,-7.388916625
92,Grayson,120877,120877,120877,120877,120877,120877,120877,120877,71500,72195,74700,75412,78723,80674,82479,86784,92147,12613,42264,23718,24796,47819,43310,20012,59699,45187,0.1764,0.5854,0.3175,0.3288,0.6074,0.5369,0.2426,0.6879,0.4904,9.042177436,20.20777062,10.23970123,5.471328671,15.35524476,9.371187609,7.997322624,23.35609103,14.22143442,13.14357373,41.25260269,24.84368138,96.590819,58.66169825,-19.29343442,82.60392951,90.51775023,4.333872085
93,Gregg,121730,121730,121730,121730,121730,121730,121730,121730,63805,64291,67930,67413,69447,69508,70147,72632,74026,12768,42061,23486,22722,42358,36338,16563,47982,33225,0.2001,0.6542,0.3457,0.3371,0.6099,0.5228,0.2361,0.6606,0.4488,8.01978504,12.97382215,4.586231227,5.654729253,9.939659901,4.055597585,2.322979538,8.973943766,6.499971226,0.706117306,14.07717363,13.27730299,77.96052632,29.72274436,-27.10588857,54.72196202,41.46725709,-8.566789587
94,Grimes,26604,26604,26604,26604,26604,26604,26604,26604,14277,14504,15283,15294,15729,16317,16771,17840,19125,3258,8772,5024,5228,9764,8698,5187,12415,9460,0.2282,0.6048,0.3287,0.3418,0.6208,0.5331,0.3093,0.6959,0.4946,8.445945946,23.00055157,13.42106936,7.123345241,17.46865588,9.65738198,6.765687365,25.13904338,17.20904578,11.30870953,41.52986776,27.15075789,60.46654389,59.20810313,-0.784238715,73.12898089,88.29617834,8.760634629
95,Guadalupe,131533,131533,131533,131533,131533,131533,131533,131533,74942,76579,84286,88216,93537,100163,104616,111002,119666,13243,49628,30607,26712,58127,54589,27466,78016,57419,0.1767,0.6481,0.3631,0.3028,0.6214,0.545,0.2625,0.7028,0.4798,22.14445213,44.95096567,18.67175556,17.71236423,39.5959542,18.59073184,18.83705479,41.97612889,19.47126184,17.12541307,57.20157975,34.21645707,101.706562,107.4001359,2.822701408,78.35462476,87.60087562,5.184194618
96,Hale,36273,36273,36273,36273,36273,36273,36273,36273,19434,19603,19354,18896,19471,19084,18767,18973,18242,2605,9011,4375,4941,9051,7471,3239,9651,6347,0.134,0.4597,0.2261,0.2615,0.4648,0.3915,0.1726,0.5087,0.3479,-0.673366321,-3.213793807,-2.557649838,-2.768344139,-3.432129258,-0.682684166,-1.395060453,-5.745582309,-4.412072941,0.443901898,7.102430363,6.629101757,89.67370441,24.3378119,-34.44646833,70.76571429,45.07428571,-15.04484005
97,Hall,3353,3353,3353,3353,3353,3353,3353,3353,2029,2026,2037,1952,2021,1986,1943,1928,1838,283,1109,587,617,1091,979,581,1170,891,0.1395,0.5474,0.2882,0.3161,0.5398,0.493,0.299,0.6068,0.4848,-0.246791708,-4.837117473,-4.601682335,-3.794972893,-4.238541153,-0.461065574,-2.503681885,-9.769268532,-7.452165156,-1.623083859,5.500450857,7.241063245,118.0212014,105.3003534,-5.834683955,66.7802385,51.78875639,-8.988764045
98,Hamilton,8517,8517,8517,8517,8517,8517,8517,8517,5380,5395,5388,5342,5463,5575,5671,5822,5968,1897,3552,2431,2389,3643,3342,2585,4400,3483,0.3526,0.6584,0.4512,0.4472,0.6668,0.5995,0.4558,0.7558,0.5836,1.260426321,7.914735867,6.571480871,-0.706319703,5.408921933,6.158742044,3.470675575,10.76466221,7.049327354,2.561936937,23.87387387,20.77957727,25.93568793,36.26779125,8.204269569,37.47429042,43.27437269,4.219030521
99,Hansford,5613,5613,5613,5613,5613,5613,5613,5613,3007,3011,3070,3020,3066,3033,2974,3006,2971,690,1962,1209,1338,1953,1714,1216,2047,1522,0.2295,0.6516,0.3938,0.443,0.637,0.5651,0.4089,0.681,0.5123,1.826635669,-0.166057788,-1.956947162,0.432324576,-1.097439308,-1.523178808,-1.205211726,-3.2247557,-2.044180679,-0.458715596,4.332313965,4.813108039,93.91304348,76.23188406,-9.118086697,41.7700579,25.8891646,-11.20186698
100,Hardeman,4139,4139,4139,4139,4139,4139,4139,4139,2562,2572,2567,2506,2536,2446,2423,2482,2458,421,1495,669,863,1515,1169,822,1580,985,0.1643,0.5813,0.2606,0.3444,0.5974,0.4779,0.3392,0.6366,0.4007,-1.399688958,-3.499222395,-2.129337539,-2.18579235,-5.425448868,-3.312051077,-4.713673549,-4.246201792,0.490596893,1.337792642,5.685618729,4.290429043,104.9881235,95.24940618,-4.750869061,74.73841555,47.23467862,-15.73994867
101,Hardin,54635,54635,54635,54635,54635,54635,54635,54635,34207,34461,36001,37000,38168,38091,38470,39860,41397,8088,21476,11663,13504,22780,20247,10432,27635,19644,0.2364,0.6232,0.324,0.365,0.5968,0.5315,0.2712,0.6933,0.4745,10.75708772,15.66698587,4.433032907,8.164995469,12.4623615,3.972972973,5.805394295,14.98847254,8.679215563,6.071894207,28.67852486,21.31255487,66.96340257,28.98120673,-22.74881517,73.60027437,68.43007802,-2.978218995
102,Harris,4092459,4092459,4092459,4092459,4092459,4092459,4092459,4092459,1897622,1938382,2064329,2130111,2234291,2326669,2390369,2475458,2568676,234871,1204167,680942,557048,1312975,1210217,524219,1641062,1107391,0.1238,0.6212,0.3299,0.2615,0.5876,0.5202,0.2193,0.6629,0.4311,15.26577321,27.70743847,10.7938939,12.251597,25.96655182,12.21804873,12.70824563,24.4315223,10.40143656,9.035955976,36.28192767,24.98806146,137.1718944,123.1944344,-5.893388002,77.72688423,62.62633235,-8.496492778
103,Harrison,65631,65631,65631,65631,65631,65631,65631,65631,39572,39825,42822,43463,44441,44185,44637,45776,45762,8710,26288,14801,13002,26814,22772,11818,29850,21449,0.2201,0.6601,0.3456,0.2992,0.6034,0.5154,0.2648,0.6521,0.4687,11.59070935,14.94287508,3.003982809,9.832709997,12.79945416,2.701148103,3.182943347,6.865629816,3.569084531,2.000912964,13.5499087,11.3224435,49.27669346,35.68312285,-9.10629134,53.85446929,44.91588406,-5.80976638
104,Hartley,6062,6062,6062,6062,6062,6062,6062,6062,2736,2780,2860,2857,2974,2835,2784,2891,2675,602,1923,1114,1143,1964,1611,1219,2091,1579,0.22,0.6917,0.3895,0.4001,0.6604,0.5683,0.4379,0.7233,0.5903,6.978417266,3.992805755,-2.790854069,4.42251462,1.754385965,-2.555127756,-0.874125874,-6.468531469,-5.643738977,2.132085283,8.736349454,6.466395112,89.86710963,102.4916944,6.649168854,44.61400359,41.74147217,-1.986343886
105,Haskell,5899,5899,5899,5899,5899,5899,5899,5899,3607,3600,3497,3333,3393,3306,3262,3370,3370,451,2035,1068,1079,1765,1679,985,2253,1674,0.125,0.5653,0.3054,0.3237,0.5202,0.5079,0.302,0.6685,0.4967,-5.75,-6.388888889,-0.677866195,-7.596340449,-9.564735237,-2.130213021,-5.461824421,-3.631684301,1.935874168,-13.26781327,10.71253071,27.64872521,139.2461197,118.4035477,-8.711770158,57.20973783,56.74157303,-0.297796307
106,Hays,157107,157107,157107,157107,157107,157107,157107,157107,95904,97002,106632,110977,121593,134654,142027,153258,167844,13774,59723,39688,34380,73589,79975,40715,109963,89953,0.1436,0.6157,0.3722,0.3098,0.6052,0.5939,0.2867,0.7175,0.5359,25.35102369,57.99468052,26.04179517,15.71675843,48.09288455,27.97877038,26.27916573,57.40490659,24.64835801,23.21718601,84.12169516,49.42858308,149.600697,195.5931465,18.4264107,101.5092723,126.6503729,12.47639887
