ID,County,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022
11,Bandera,20485,20485,20485,20485,20485,20485,20485,20485,14281,14677,14840,14902,15520,15877,16262,17065,17966,4277,9601,6431,5937,10311,9637,5322,12716,10513,0.2995,0.6542,0.4334,0.3984,0.6644,0.607,0.3273,0.7452,0.5852,5.743680589,16.27035498,9.954896907,4.348434984,13.87157762,9.126291773,6.98787062,21.06469003,13.15739749,7.395063014,32.44453703,23.32460479,38.81225158,24.43301379,-10.35876705,49.85227803,63.47379879,9.089965757
12,Bastrop,74171,74171,74171,74171,74171,74171,74171,74171,38538,38767,42573,42491,45115,47022,48944,51948,55835,8071,24685,17076,15759,28888,27626,15607,36947,29363,0.2094,0.6368,0.4011,0.3709,0.6403,0.5875,0.3189,0.7112,0.5259,16.37475172,34.00056749,15.14573867,10.25740827,27.00192018,15.18674543,10.45028539,31.15119912,18.74229084,17.02653433,49.67389103,27.89739684,95.25461529,93.37132945,-0.964528206,61.78261888,71.95479035,6.287555202
13,Baylor,3726,3726,3726,3726,3726,3726,3726,3726,2489,2493,2510,2408,2433,2353,2325,2404,2380,299,1592,844,897,1513,1243,988,1703,1313,0.1201,0.6386,0.3363,0.3725,0.6219,0.5283,0.4249,0.7084,0.5517,-2.406738869,-3.569995989,-1.191944102,-3.254319004,-6.588991563,-3.446843854,-6.25498008,-5.179282869,1.147471313,-4.962311558,6.972361809,12.55783212,200,230.4347826,10.14492754,47.27488152,55.56872038,5.631536605
14,Bee,31861,31861,31861,31861,31861,31861,31861,31861,14081,14230,15126,15043,15713,15784,15657,15977,15757,2792,7961,5228,4530,8486,7299,2791,9419,6410,0.1983,0.5595,0.3456,0.3011,0.5401,0.4624,0.1783,0.5895,0.4068,10.42164441,12.27687983,1.680137466,6.831901143,11.1923869,4.081632653,4.350125612,4.171625017,-0.171059301,6.594648913,18.31428213,10.99457931,62.24928367,-0.035816619,-38.38852097,39.61361897,22.60902831,-12.17975065
15,Bell,310235,310235,310235,310235,310235,310235,310235,310235,152152,157309,168972,174722,186498,194853,202355,215966,228007,19346,86610,44137,42260,96148,86905,41229,128035,88292,0.1271,0.5506,0.2612,0.2419,0.5155,0.446,0.2037,0.5928,0.3872,18.55520027,37.28775849,15.80070564,14.83385036,32.99529418,15.81540962,15.31673887,34.93774116,17.01487788,11.01258515,47.82934996,33.1644964,118.443089,113.113822,-2.439659252,96.89829395,100.0407821,1.595995627
16,Bexar,1714773,1714773,1714773,1714773,1714773,1714773,1714773,1714773,869417,886078,958256,985895,1044741,1106388,1130471,1187942,1230627,107923,520288,304052,248562,598691,550669,254397,773800,543164,0.1241,0.5872,0.3173,0.2521,0.5731,0.4977,0.225,0.6514,0.4414,17.90621142,34.06742973,13.70684217,13.39725356,30.02632799,14.66444195,15.45849961,28.4236154,11.22924327,15.06915401,48.72532136,29.24864413,130.3142055,135.720838,2.347502836,81.11013906,78.64181127,-1.362887688
17,Blanco,10497,10497,10497,10497,10497,10497,10497,10497,6944,7017,7388,7666,8038,8428,8774,9329,10155,1995,4972,3611,3525,5816,5822,3365,7477,6792,0.2873,0.7086,0.4888,0.4598,0.7236,0.6908,0.3835,0.8015,0.6688,14.55037765,32.94855351,16.06120926,10.39746544,26.35368664,14.45343073,14.07688143,37.45262588,20.49121974,16.97506034,50.38213998,28.55914718,76.69172932,68.6716792,-4.539007092,61.22957629,88.09194129,16.66094126
18,Borden,641,641,641,641,641,641,641,641,418,422,440,451,463,486,484,499,463,169,364,263,315,371,347,251,417,325,0.4043,0.8626,0.5977,0.6984,0.8013,0.714,0.5186,0.8357,0.7019,9.71563981,18.2464455,7.77537797,7.894736842,15.78947368,7.317073171,10.45454545,5.227272727,-4.732510288,1.923076923,14.56043956,12.39892183,86.39053254,48.52071006,-20.31746032,31.9391635,23.57414449,-6.340057637
19,Bosque,18212,18212,18212,18212,18212,18212,18212,18212,11673,11733,11828,11642,12000,12128,12187,12722,13088,2689,7348,4949,4815,7906,7244,4581,9188,7490,0.2304,0.6263,0.4184,0.4136,0.6588,0.5973,0.3759,0.7222,0.5723,2.27563283,8.429216739,6.016666667,-0.265570119,4.40332391,4.681326233,2.536354413,10.65268854,7.915567282,7.593903103,25.04082744,16.21553251,79.06284864,70.3607289,-4.859813084,46.37300465,51.3437058,3.39591386
20,Bowie,92565,92565,92565,92565,92565,92565,92565,92565,54757,55520,57249,57210,59076,59412,59364,61313,60974,9644,35362,21522,19604,34587,28485,16691,38309,26691,0.1761,0.6369,0.3759,0.3427,0.5855,0.4794,0.2812,0.6248,0.4377,6.404899135,10.43407781,3.786647708,4.479792538,8.413536169,3.765076036,3.778231934,6.506663872,2.629098499,-2.191618121,8.333804649,10.76126868,103.2766487,73.07133969,-14.85921241,32.35294118,24.01728464,-6.298051606
21,Brazoria,313166,313166,313166,313166,313166,313166,313166,313166,169846,173282,183697,187424,196645,206219,213503,223674,235132,26224,106776,62313,52189,121190,111788,57629,154984,110000,0.1544,0.6162,0.3392,0.2785,0.6163,0.5421,0.2699,0.6929,0.4678,13.48264678,29.08092012,13.74507361,10.34937532,25.70387292,13.91443999,12.26040708,27.9999129,14.02053157,13.49928823,45.14872256,27.88513904,99.01235509,119.7567114,10.42365249,79.39755749,76.52817229,-1.599456113
22,Brazos,194851,194851,194851,194851,194851,194851,194851,194851,85854,85669,93172,96279,106769,113131,116851,121439,126114,14427,55678,31799,32668,68443,64877,31714,85067,59996,0.168,0.6499,0.3413,0.3393,0.641,0.5735,0.2714,0.7005,0.4757,24.62967935,41.75372655,13.73994324,12.14270739,36.10431663,21.36706862,21.42167175,35.35611557,11.47607641,22.92647006,52.78386436,24.28882428,126.4365426,119.8239412,-2.920288968,104.0221391,88.67259977,-7.523467485
23,Brewster,9232,9232,9232,9232,9232,9232,9232,9232,6447,6513,7029,6998,7364,7213,7212,7515,7509,2233,3908,2949,2892,4295,4086,2303,4822,3808,0.3464,0.6,0.4195,0.4133,0.5832,0.5665,0.3193,0.6417,0.5071,13.06617534,15.38461538,2.050516024,8.546610827,11.86598418,3.058016576,2.617726561,6.828851899,4.10370165,9.902763562,23.38792221,12.27008149,29.51186744,3.134796238,-20.36652835,38.55544252,29.12851814,-6.80372002
24,Briscoe,1637,1637,1637,1637,1637,1637,1637,1637,1131,1121,1134,1079,1096,1072,1025,1025,994,423,713,527,499,744,632,552,729,596,0.374,0.636,0.4647,0.4625,0.6788,0.5896,0.5385,0.7112,0.5996,-2.23015165,-8.563782337,-6.47810219,-4.597701149,-9.372236958,-5.00463392,-5.467372134,-12.34567901,-7.276119403,4.347826087,2.244039271,-2.016129032,17.96690307,30.4964539,10.62124248,19.92409867,13.09297913,-5.696202532
25,Brooks,7223,7223,7223,7223,7223,7223,7223,7223,6479,6583,6430,6445,6426,5805,5529,5505,5152,2098,2429,2513,2246,2660,1924,1523,2484,2096,0.3238,0.369,0.3908,0.3485,0.4139,0.3314,0.2755,0.4512,0.4068,-2.384930883,-16.37551268,-14.33239963,-0.524772341,-14.6627566,-14.21256788,-9.720062208,-19.8755832,-11.24892334,9.510086455,2.264306299,-6.616541353,7.054337464,-27.40705434,-32.190561,-23.43812177,-16.59371269,8.93970894
26,Brown,38106,38106,38106,38106,38106,38106,38106,38106,21826,21884,22747,22773,23420,23193,23332,23808,24656,5278,13947,8203,9477,14236,12356,6938,16060,12291,0.2418,0.6373,0.3606,0.4162,0.6079,0.5327,0.2974,0.6746,0.4985,7.01882654,8.791811369,1.656703672,4.338861908,6.90002749,2.454661222,1.960698114,8.39231547,6.30793774,2.072130207,15.15021152,12.81258781,79.55665025,31.45130731,-26.79117864,50.62781909,49.83542606,-0.526060214
27,Burleson,17187,17187,17187,17187,17187,17187,17187,17187,10589,10697,11048,11274,11635,11745,11919,12403,12926,1688,6465,4212,3944,6964,6606,4284,8664,6738,0.1594,0.6044,0.3812,0.3498,0.5985,0.5625,0.3594,0.6985,0.5213,8.768813686,15.94839675,6.600773528,6.468977241,12.56020399,5.72112826,6.308834178,16.99855177,10.0553427,7.718484145,34.01392111,24.4112579,133.6492891,153.7914692,8.620689655,56.83760684,59.97150997,1.99818347
28,Burnet,42750,42750,42750,42750,42750,42750,42750,42750,25583,25848,27429,28194,29579,30832,31914,33629,36397,6527,17083,12040,11649,19517,18693,9377,24925,21199,0.2551,0.6609,0.439,0.4132,0.6598,0.6063,0.2938,0.7412,0.5824,14.43438564,30.10290932,13.69214646,10.20599617,24.74690224,13.19429666,12.40657698,32.69532247,18.04942916,14.24808289,45.90528596,27.70917662,78.47403095,43.66477708,-19.50382007,55.25747508,76.07142857,13.40608784
29,Caldwell,38066,38066,38066,38066,38066,38066,38066,38066,19757,19963,21213,21163,22533,23626,25073,25826,25278,3211,11112,8910,6430,12294,11526,6220,14980,11417,0.1625,0.5566,0.42,0.3038,0.5456,0.4879,0.2481,0.58,0.4517,12.87381656,29.36933327,14.61412151,7.11646505,26.90691907,18.47564145,11.37510017,19.16277754,6.992296622,10.63714903,34.80921526,21.84805596,100.2491436,93.70912488,-3.265940902,29.36026936,28.1369248,-0.94568801
30,Calhoun,21381,21381,21381,21381,21381,21381,21381,21381,11875,11954,12696,12656,12862,12742,12710,13039,12868,2894,6708,4163,3784,7077,6134,3161,7901,5668,0.2437,0.5612,0.3279,0.299,0.5502,0.4814,0.2487,0.606,0.4405,7.595783838,9.076459762,1.376146789,6.576842105,7.031578947,0.426675095,0.362318841,1.354757404,0.988855753,5.500894454,17.78473465,11.6433517,30.75328265,9.225984796,-16.4640592,47.34566418,36.1518136,-7.597000326
31,Callahan,13544,13544,13544,13544,13544,13544,13544,13544,8622,8651,8836,8956,9198,9261,9424,9738,10015,2150,5324,3018,3687,5684,5063,2732,6833,5382,0.2494,0.6154,0.3416,0.4117,0.618,0.5467,0.2899,0.7017,0.5374,6.322968443,12.56502138,5.870841487,3.873811181,9.301786129,5.225547119,4.809868719,13.34314169,8.141669366,6.761833208,28.34335086,20.21463758,71.48837209,27.06976744,-25.9018172,67.76010603,78.33001988,6.300612285
32,Cameron,406220,406220,406220,406220,406220,406220,406220,406220,172491,176425,186662,188985,197684,206289,213879,218663,227865,29000,76895,40439,44475,93587,79358,41309,115639,77958,0.1681,0.4359,0.2166,0.2353,0.4734,0.3847,0.1931,0.5288,0.3421,12.04987955,23.94105144,10.61239149,9.56223803,23.99429535,13.17247401,10.51472715,22.07358755,10.45911319,21.70752325,50.38559074,23.56310171,53.36206897,42.44482759,-7.118605958,96.24125226,92.77924776,-1.764157363
33,Camp,12401,12401,12401,12401,12401,12401,12401,12401,6925,6992,7231,7295,7580,7581,7700,7887,8052,1175,4335,2613,2512,4542,3899,2630,5058,3983,0.1697,0.62,0.3614,0.3443,0.5992,0.5143,0.3416,0.6413,0.4947,8.409610984,12.80034325,4.050131926,5.342960289,11.19133574,5.551747772,4.840271055,11.35389296,6.212900673,4.775086505,16.67820069,11.36063408,113.787234,123.8297872,4.697452229,49.21546116,52.43015691,2.154398564
34,Carson,6182,6182,6182,6182,6182,6182,6182,6182,4217,4198,4254,4251,4317,4224,4264,4332,4155,1182,2775,1864,1622,2991,2466,1596,3137,2399,0.2803,0.661,0.4382,0.3816,0.6928,0.5838,0.3743,0.7241,0.5774,2.834683182,3.191996189,0.347463516,0.806260375,1.1145364,0.305810398,-0.705218618,-2.327221439,-1.633522727,7.783783784,13.04504505,4.881310598,37.2250423,35.02538071,-1.602959309,32.29613734,28.70171674,-2.716950527
35,Cass,30464,30464,30464,30464,30464,30464,30464,30464,18090,18361,19307,19322,20041,20050,20229,20868,21145,3762,11748,6964,6608,12518,10391,5656,14002,9996,0.208,0.6398,0.3607,0.342,0.6246,0.5183,0.2796,0.671,0.4727,9.149828441,13.65394042,4.126540592,6.810392482,11.82421227,4.694131042,3.84834516,9.519863262,5.461346633,6.554307116,19.18624447,11.8549289,75.65124934,50.34556087,-14.40677966,49.21022401,43.53819644,-3.801366567
36,Castro,8062,8062,8062,8062,8062,8062,8062,8062,3884,3924,3965,3891,3959,3814,3808,3848,3636,891,2167,1198,1206,2035,1666,869,2097,1512,0.2294,0.5522,0.3021,0.3099,0.514,0.4368,0.2282,0.545,0.4158,0.891946993,-1.936799185,-2.803738318,0.180226571,-1.956745623,-2.133127731,-3.808322825,-8.297604035,-4.667016256,-6.091370558,-3.230272266,3.046683047,35.35353535,-2.469135802,-27.94361526,39.06510851,26.21035058,-9.243697479
37,Chambers,35096,35096,35096,35096,35096,35096,35096,35096,23435,23752,25108,25900,26920,27969,29317,30630,33153,5514,14729,8504,8080,16923,15247,9129,21643,15750,0.2353,0.6201,0.3387,0.312,0.6286,0.5451,0.3114,0.7066,0.4751,13.33782418,28.95756147,13.78157504,10.5184553,25.09921058,13.19305019,11.39477457,32.04158037,18.53480639,14.89578383,46.94140811,27.89103587,46.53608995,65.56039173,12.98267327,79.29209784,85.20696143,3.299009641
38,Cherokee,50845,50845,50845,50845,50845,50845,50845,50845,26356,26520,26960,26773,27785,27778,27967,29080,30046,6290,16241,9754,10054,16790,15132,9512,19510,14523,0.2387,0.6124,0.3618,0.3755,0.6043,0.5447,0.3401,0.6709,0.4834,4.769984917,9.653092006,4.660788195,1.582182425,6.112460161,4.459716879,3.034124629,11.44658754,8.164734682,3.380333723,20.12807093,16.20011912,59.84101749,51.22416534,-5.390889198,55.13635432,48.89276194,-4.024583664
39,Childress,7041,7041,7041,7041,7041,7041,7041,7041,3472,3505,3572,3547,3563,3532,3563,3648,3675,696,1996,1100,1059,2084,1771,1395,2290,1760,0.2005,0.5695,0.308,0.2986,0.5849,0.5014,0.3915,0.6277,0.4789,1.654778887,4.079885877,2.385630087,2.160138249,2.620967742,0.451085424,-1.119820829,2.883538634,4.048697622,4.408817635,14.72945892,9.884836852,52.15517241,100.4310345,31.72804533,61,60,-0.621118012
40,Clay,10752,10752,10752,10752,10752,10752,10752,10752,7582,7661,7608,7452,7656,7620,7692,7931,8057,2131,5094,2858,3114,5051,4295,3221,5770,4497,0.2811,0.6649,0.3757,0.4179,0.6597,0.5636,0.4187,0.7275,0.5581,-0.065265631,3.52434408,3.591954023,-1.71458718,1.450804537,3.220611916,0.157728707,5.90168244,5.734908136,-0.844130349,13.27051433,14.23480499,46.12857813,51.14969498,3.436095055,50.27991603,57.34779566,4.70314319
41,Cochran,3127,3127,3127,3127,3127,3127,3127,3127,1795,1780,1775,1735,1777,1740,1755,1768,1739,654,917,495,757,907,690,463,1000,618,0.3643,0.5152,0.2789,0.4363,0.5104,0.3966,0.2638,0.5656,0.3554,-0.168539326,-0.674157303,-0.506471581,-3.342618384,-2.228412256,1.152737752,-1.971830986,-2.028169014,-0.057471264,-1.090512541,9.051254089,10.25358324,15.74923547,-29.20489297,-38.83751651,39.39393939,24.84848485,-10.43478261
